"bird_sp","bird_num","f_key","p_key"
g_aigrette,2,uuid:2f7cf951-1e6c-4561-80a3-b5d2b9fa0a87,uuid:2f7cf951-1e6c-4561-80a3-b5d2b9fa0a87/intro_bird/bird_ipa[3]
h_cendre,1,uuid:e794d97f-8ed0-462a-ad9c-0dab1b08b5bf,uuid:e794d97f-8ed0-462a-ad9c-0dab1b08b5bf/intro_bird/bird_ipa[1]
cormo,1,uuid:d4bc9f21-aa68-4285-97bf-bf98ea865623,uuid:d4bc9f21-aa68-4285-97bf-bf98ea865623/intro_bird/bird_ipa[1]
h_cendre,1,uuid:d4bc9f21-aa68-4285-97bf-bf98ea865623,uuid:d4bc9f21-aa68-4285-97bf-bf98ea865623/intro_bird/bird_ipa[2]
h_cendre,1,uuid:e57bc24e-3843-4164-b968-6e181863eaee,uuid:e57bc24e-3843-4164-b968-6e181863eaee/intro_bird/bird_ipa[1]
cormo,1,uuid:e57bc24e-3843-4164-b968-6e181863eaee,uuid:e57bc24e-3843-4164-b968-6e181863eaee/intro_bird/bird_ipa[2]
c_tuber,19,uuid:05b3c6d1-0b37-4774-a22e-6169a945e05d,uuid:05b3c6d1-0b37-4774-a22e-6169a945e05d/intro_bird/bird_ipa[1]
h_cendre,16,uuid:05b3c6d1-0b37-4774-a22e-6169a945e05d,uuid:05b3c6d1-0b37-4774-a22e-6169a945e05d/intro_bird/bird_ipa[2]
g_aigrette,2,uuid:05b3c6d1-0b37-4774-a22e-6169a945e05d,uuid:05b3c6d1-0b37-4774-a22e-6169a945e05d/intro_bird/bird_ipa[3]
cormo,1,uuid:05b3c6d1-0b37-4774-a22e-6169a945e05d,uuid:05b3c6d1-0b37-4774-a22e-6169a945e05d/intro_bird/bird_ipa[4]
c_tuber,46,uuid:37647fae-cde9-46ed-a788-9c18cdaeabdd,uuid:37647fae-cde9-46ed-a788-9c18cdaeabdd/intro_bird/bird_ipa[1]
cormo,1,uuid:37647fae-cde9-46ed-a788-9c18cdaeabdd,uuid:37647fae-cde9-46ed-a788-9c18cdaeabdd/intro_bird/bird_ipa[2]
c_tuber,181,uuid:98567606-3c85-4364-ae96-03093574c216,uuid:98567606-3c85-4364-ae96-03093574c216/intro_bird/bird_ipa[1]
h_cendre,2,uuid:98567606-3c85-4364-ae96-03093574c216,uuid:98567606-3c85-4364-ae96-03093574c216/intro_bird/bird_ipa[2]
cormo,1,uuid:98567606-3c85-4364-ae96-03093574c216,uuid:98567606-3c85-4364-ae96-03093574c216/intro_bird/bird_ipa[3]
h_cendre,5,uuid:3a1460e9-1560-44f9-ac95-6905305655ef,uuid:3a1460e9-1560-44f9-ac95-6905305655ef/intro_bird/bird_ipa[1]
g_aigrette,1,uuid:3a1460e9-1560-44f9-ac95-6905305655ef,uuid:3a1460e9-1560-44f9-ac95-6905305655ef/intro_bird/bird_ipa[2]
cormo,1,uuid:3a1460e9-1560-44f9-ac95-6905305655ef,uuid:3a1460e9-1560-44f9-ac95-6905305655ef/intro_bird/bird_ipa[3]
h_cendre,1,uuid:ab9dbe1a-9e6d-4288-ba31-b4e3726f5480,uuid:ab9dbe1a-9e6d-4288-ba31-b4e3726f5480/intro_bird/bird_ipa[1]
g_aigrette,44,uuid:1b585263-0262-447c-bac7-292fff9d6b47,uuid:1b585263-0262-447c-bac7-292fff9d6b47/intro_bird/bird_ipa[1]
c_tuber,26,uuid:1b585263-0262-447c-bac7-292fff9d6b47,uuid:1b585263-0262-447c-bac7-292fff9d6b47/intro_bird/bird_ipa[2]
h_cendre,9,uuid:1b585263-0262-447c-bac7-292fff9d6b47,uuid:1b585263-0262-447c-bac7-292fff9d6b47/intro_bird/bird_ipa[3]
m_rieuse,20,uuid:1b585263-0262-447c-bac7-292fff9d6b47,uuid:1b585263-0262-447c-bac7-292fff9d6b47/intro_bird/bird_ipa[4]
